id,text,label,is_reply,retweet_count,user,screen_name,source,in_reply_to_screen_name
0,RT @dghs_muscat: تود #صحية_مسقط نفي ماجاء عبر احد الحسابات فيما يتعلق بالحاجة لمتطوعين للعمل في مركز عمان للمؤتمرات والمعارض لخدمة حملة الت…,TRUE,0,8,هيلين|Helen,H24Loo,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
11,RT @dghs_muscat: تود #صحية_مسقط نفي ماجاء عبر احد الحسابات فيما يتعلق بالحاجة لمتطوعين للعمل في مركز عمان للمؤتمرات والمعارض لخدمة حملة الت…,TRUE,0,8,Ajazاعجازاحمدقاسمی,AjazAja57497257,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
14,RT @dghs_muscat: تود #صحية_مسقط نفي ماجاء عبر احد الحسابات فيما يتعلق بالحاجة لمتطوعين للعمل في مركز عمان للمؤتمرات والمعارض لخدمة حملة الت…,TRUE,0,8,ابوياقوت,khusaifoman,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
17,RT @dghs_muscat: تود #صحية_مسقط نفي ماجاء عبر احد الحسابات فيما يتعلق بالحاجة لمتطوعين للعمل في مركز عمان للمؤتمرات والمعارض لخدمة حملة الت…,TRUE,0,8,.,Flowers_Oman99,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
18,RT @dghs_muscat: تود #صحية_مسقط نفي ماجاء عبر احد الحسابات فيما يتعلق بالحاجة لمتطوعين للعمل في مركز عمان للمؤتمرات والمعارض لخدمة حملة الت…,TRUE,0,8,سمسوم أبيض,oma2116543,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
24,RT @dghs_muscat: تود #صحية_مسقط نفي ماجاء عبر احد الحسابات فيما يتعلق بالحاجة لمتطوعين للعمل في مركز عمان للمؤتمرات والمعارض لخدمة حملة الت…,TRUE,0,8,وزارة الصحة - عُمان,OmaniMOH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
55,RT @dghs_muscat: تود #صحية_مسقط نفي ماجاء عبر احد الحسابات فيما يتعلق بالحاجة لمتطوعين للعمل في مركز عمان للمؤتمرات والمعارض لخدمة حملة الت…,TRUE,0,8,2 Three 0 Five | 2.4 🛬🇵🇸,DrMoosa99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1,"اللهم اصرف عنا هذا الوباء ، وقنا شر الداء ، ونجنا من البلاء ، اللهم كما أنزلت هذا الداء بقدرتك ، فارفعه برحمتك يا أ… https://t.co/YZc9qJqPGF",Not,0,0,م . خليل فران,khalilfarran,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
2,"RT @24IN2MIN: أخبار الصحة في دقيقتين: 💉 ""أسترازينيكا""  تعلن عن لقاح جديد ضد كوفيد 19 😯 تحذير من جرعة الأسبرين اليومية 🥖 إياكم وعدم تناول ال…",FALSE,0,3,العربية,AlArabiya,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",
4,"RT @24IN2MIN: أخبار الصحة في دقيقتين: 💉 ""أسترازينيكا""  تعلن عن لقاح جديد ضد كوفيد 19 😯 تحذير من جرعة الأسبرين اليومية 🥖 إياكم وعدم تناول ال…",FALSE,0,3,الصحة/كورونا,AlArabiya_Seha,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",
10,"RT @24IN2MIN: أخبار الصحة في دقيقتين: 💉 ""أسترازينيكا""  تعلن عن لقاح جديد ضد كوفيد 19 😯 تحذير من جرعة الأسبرين اليومية 🥖 إياكم وعدم تناول ال…",FALSE,0,3,الملاح,ALMALLAH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
3,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,Hanewi,HanewiQ8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
413,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,Cupīdōo,Cupdoo81,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
545,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,محمد ابراهيم,Mibrahim200,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
560,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,xxggkkxx,xxggkkxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
564,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,Pplj,Pplj13190749,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
575,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,marriott,theni587,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
920,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,محمد,LX5oEyOMytg8SrU,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
